Gene,Tumor_Mean,Normal_Mean,Log2FC,P_Value,NegLog10_P,Significance
ADRA1A,1.207807383773929,5.021281578947369,-1.4474562728819083,2.684723496744176e-60,59.571100436229536,Downregulated
UBE2S,8.563679854147674,6.269150877192982,0.39577898624864116,2.853425051763426e-60,59.544633530170586,Not Significant
KLF15,4.603133363719235,8.199291228070177,-0.715288879572425,2.8666596714756116e-60,59.54262386323537,Not Significant
PYGM,3.323358249772106,6.860523684210525,-0.8624730426484235,3.137131465764617e-60,59.503467281219436,Not Significant
FREM1,4.7992044667274385,8.735618421052632,-0.747417618699614,3.202674555984378e-60,59.494487190502916,Not Significant
LOC399959,7.292500455788514,9.464652631578947,-0.3356453314934116,3.409308752061028e-60,59.46733366663719,Not Significant
ARF1,13.75123801276208,12.785779824561406,0.09765516017246334,3.44094606407886e-60,59.463322134777066,Not Significant
RERGL,3.045338833181404,7.527672807017544,-1.0758915390049373,3.513274778026702e-60,59.454287882114045,Downregulated
ASPA,2.7388508659981765,6.350619298245614,-0.9752708771903285,3.5745015794783197e-60,59.4467845066945,Not Significant
GDF10,3.416757611668186,7.760438596491229,-0.9880154404741062,3.900108634892338e-60,59.4089232958255,Not Significant
TMEM63B,10.52314257064722,9.327137719298245,0.15809376894679045,3.9343416769064887e-60,59.40512792658457,Not Significant
LYVE1,5.127771923427528,10.147768421052632,-0.8633204318861296,3.9708875670339255e-60,59.40111240951331,Not Significant
BUB1,8.60220382862352,5.089386842105262,0.6570685944790824,4.206868746625677e-60,59.3760410376634,Not Significant
