PC1,PC2,Sample_Type,Cluster
-2.20417276215516,5.0668704075152355,Tumor,0
-12.691668819729376,16.570997153566044,Tumor,1
-72.29676433991669,63.277469781565564,Tumor,1
-89.9861806857422,19.821672882647743,Tumor,1
-71.2078438466278,36.97786009995484,Tumor,1
-84.85778868403528,3.797775984294463,Tumor,1
-9.952621229013522,32.291342073704186,Tumor,1
8.90836325268188,-53.30117976824814,Tumor,0
-4.521883274895271,-37.58111975278035,Tumor,0
-81.42316145057153,-65.8148169572118,Tumor,1
-63.25627515397305,-43.58435585899002,Tumor,1
-1.8066437496114454,-80.01551792855011,Tumor,0
-68.52011788708423,-3.082375811164647,Tumor,1
-47.746579130037176,-25.26618635905933,Tumor,1
38.83021452584469,25.97605647052273,Tumor,0
-52.97404587045368,36.67023546928383,Tumor,1
-17.953067326510805,-13.05583782796486,Tumor,1
30.320146568597053,-44.702461859880245,Tumor,0
-45.70499122653285,21.73839494206068,Tumor,1
-23.83947464949998,-34.22630664062591,Tumor,1
-0.8343675692110876,-19.678184725553823,Tumor,0
-51.07501089072168,27.663771351621904,Tumor,1
-39.97660752575685,24.645753008977746,Tumor,1
-30.942911670295313,-46.040856468298266,Tumor,1
-64.31798778483446,0.6440451399211486,Tumor,1
6.718810074917146,-27.748993567939426,Tumor,0
-50.378729958629485,-93.22896269973836,Tumor,1
-12.166268320334257,-44.73591667297459,Tumor,0
1.1533810588653948,-32.41185275008635,Tumor,0
-14.432843278631964,-54.344563869550264,Tumor,0
18.083651795607434,-22.69896468698946,Tumor,0
22.404886423327653,19.800564749229807,Tumor,0
-28.822626908910497,10.794422567364647,Tumor,1
1.3012508636923619,58.97434224717764,Tumor,1
7.6633152634243915,30.225534430498353,Tumor,0
10.071558867987973,-9.095637217225054,Tumor,0
8.591895136602549,-13.399414872321104,Tumor,0
38.10179323504993,-39.41626380483394,Tumor,0
9.350234581112419,-73.6279460796213,Tumor,0
-3.5914357440427556,-55.62314053193979,Tumor,0
-19.06726426911248,48.72946867233793,Tumor,1
-7.155048612301567,11.873575112097354,Tumor,0
-39.777964967501404,-32.40851461206108,Tumor,1
-30.49237925884633,-39.45593238537156,Tumor,1
-9.777204756999117,3.875479447113683,Tumor,0
-3.803129381728679,-58.09144461731445,Tumor,0
-16.06199784878309,-62.138533443488676,Tumor,0
16.246584044461695,-3.2137181815476583,Tumor,0
38.48005212875033,-68.47901004068805,Tumor,0
-17.366110153981882,-8.842900535383889,Tumor,1
20.389173057066753,-22.392390761580263,Tumor,0
28.95769261131062,-41.4647393041167,Tumor,0
-11.599594520707727,-45.278041088835494,Tumor,0
-18.44930108159252,64.84049010910918,Tumor,1
-54.262594421013226,57.82575842059015,Tumor,1
-55.60360232593539,27.906000792378784,Tumor,1
-57.005066772984655,20.29415866223184,Tumor,1
-42.647237947084584,6.479017688806696,Tumor,1
-102.86191070841153,48.91312736956688,Tumor,1
-62.045572076728035,0.9967448846786735,Tumor,1
-49.2897114102073,5.608678031127594,Tumor,1
19.709483693713825,-31.559411886277363,Tumor,0
61.1599951795352,39.097573386330886,Normal,0
28.865861728968802,35.286781552685234,Tumor,0
-37.3732582250032,17.83161177038123,Tumor,1
-20.245981387329465,6.068250861678203,Tumor,1
67.89269589864308,60.30259682981497,Normal,0
20.285434094567126,19.72476513027982,Tumor,0
85.99618382111589,38.13276690433368,Normal,0
0.8263722666232566,21.760134145494842,Tumor,0
25.102335574554004,-32.59580684856097,Tumor,0
3.524587055523891,20.65689239240897,Tumor,0
46.66296147528575,59.43785211965933,Normal,0
-34.283571452779846,37.49340339473334,Tumor,1
77.58635405968117,47.62100371073879,Normal,0
-25.869991640279938,-2.6135674908249364,Tumor,1
24.246693198502737,-15.195803210702548,Tumor,0
72.44790846304068,72.1093707025371,Normal,0
-37.11236531819133,20.652199394142276,Tumor,1
19.476708299932078,19.58081092156804,Tumor,0
74.69806807522649,29.370498589212026,Normal,0
4.8195810213976,-39.715210633276556,Tumor,0
84.5329482751927,80.69100879785941,Normal,0
-41.52205188489486,36.684995473359294,Tumor,1
37.134204562979576,-10.249473521845529,Tumor,0
71.85373678923676,60.010947792310496,Normal,0
-9.256471009001551,2.572504663968413,Tumor,0
52.108483817424144,64.59789383210676,Normal,0
7.933054217660672,-4.0507974346331235,Tumor,0
10.920164883024272,20.854049987589928,Tumor,0
-0.03391541886592905,37.43287438819282,Tumor,0
19.18241330360743,-6.658090647923827,Tumor,0
69.2568869753297,44.71411017545449,Normal,0
36.187626663629636,50.06790041212563,Tumor,0
6.182018056899317,16.311062954509943,Tumor,0
29.295861785443392,48.40954296542431,Normal,0
51.59405593188396,26.912149647766945,Tumor,0
12.3396817450501,15.618761561439278,Tumor,0
-11.84524494395243,14.006980848544513,Tumor,1
74.08698892775183,43.23128888829217,Normal,0
3.912340612472475,10.491750715074922,Tumor,0
25.863012200026265,-65.12575013489587,Tumor,0
39.3037670177614,42.94052460828799,Normal,0
